"Crash_ID","$1000_Damage_to_Any_One_Person's_Property","Agency","At_Intersection_Flag","Construction_Zone_Flag","Crash_Date","Crash_Death_Count","Crash_Month","Crash_Not_Injured_Count","Crash_Severity","Crash_Time","Crash_Year","Day_of_Week","First_Harmful_Event","Hour_of_Day","Light_Condition","Manner_of_Collision","Median_Width","Number_of_Entering_Roads","Physical_Feature_1","Physical_Feature_2","Road_Class","Roadway_Type","Speed_Limit","Surface_Condition","Traffic_Control_Type","Weather_Condition","Driver_License_Class","Charge","Person_Age","Person_Alcohol_Specimen_Type_Taken","Person_Drug_Specimen_Type","Person_Drug_Test_Result","Person_Ethnicity","Person_Gender","Person_Helmet","Person_Injury_Severity","Person_Total_Injury_Count","injuries_report"
"13079823","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-07",0,"1",2,"C - POSSIBLE INJURY","1407","2013","MONDAY","PEDALCYCLIST","14:00 - 14:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"3 - THREE ENTERING ROADS - Y","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",0,"1 - DRY","9 - YIELD SIGN","1 - CLEAR","C - CLASS C","NO CHARGES",33,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13079823","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-07",0,"1",2,"C - POSSIBLE INJURY","1407","2013","MONDAY","PEDALCYCLIST","14:00 - 14:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"3 - THREE ENTERING ROADS - Y","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",0,"1 - DRY","9 - YIELD SIGN","1 - CLEAR","C - CLASS C","NO CHARGES",76,"TEST_NOT_TAKEN","TEST_NOT_TAKEN","97 - NOT APPLICABLE","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13079823","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-07",0,"1",2,"C - POSSIBLE INJURY","1407","2013","MONDAY","PEDALCYCLIST","14:00 - 14:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"3 - THREE ENTERING ROADS - Y","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",0,"1 - DRY","9 - YIELD SIGN","1 - CLEAR","C - CLASS C","NO CHARGES",28,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","1 - MALE","3 - WORN, NOT DAMAGED","C - POSSIBLE INJURY",1,"Person_Possible_Injury"
"13229743","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-07",0,"1",0,"A - SUSPECTED SERIOUS INJURY","1915","2013","MONDAY","PEDALCYCLIST","19:00 - 19:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - TURNING LEFT",0,"2 - THREE ENTERING ROADS - T","NOT APPLICABLE","NOT APPLICABLE","FARM TO MARKET","4 OR MORE LANES, UNDIVIDED",0,"1 - DRY","17 - MARKED LANES","1 - CLEAR","99 - UNKNOWN","NO CHARGES",26,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","99 - UNKNOWN","99 - UNKNOWN","97 - NOT APPLICABLE","99 - UNKNOWN",0,"Person_Unkown_Injury"
"13229743","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-07",0,"1",0,"A - SUSPECTED SERIOUS INJURY","1915","2013","MONDAY","PEDALCYCLIST","19:00 - 19:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - TURNING LEFT",0,"2 - THREE ENTERING ROADS - T","NOT APPLICABLE","NOT APPLICABLE","FARM TO MARKET","4 OR MORE LANES, UNDIVIDED",0,"1 - DRY","17 - MARKED LANES","1 - CLEAR","C - CLASS C","NO CHARGES",24,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","2 - FEMALE","1 - NOT WORN","A - SUSPECTED SERIOUS INJURY",1,"Person_Possible_Injury"
"13094668","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-10",0,"1",1,"B - SUSPECTED MINOR INJURY","1827","2013","THURSDAY","PEDALCYCLIST","18:00 - 18:59","6 - DUSK","ONE MOTOR VEHICLE - TURNING RIGHT",0,"2 - THREE ENTERING ROADS - T","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",65,"1 - DRY","8 - STOP SIGN","1 - CLEAR","C - CLASS C","NO CHARGES",27,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13094668","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-10",0,"1",1,"B - SUSPECTED MINOR INJURY","1827","2013","THURSDAY","PEDALCYCLIST","18:00 - 18:59","6 - DUSK","ONE MOTOR VEHICLE - TURNING RIGHT",0,"2 - THREE ENTERING ROADS - T","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",65,"1 - DRY","8 - STOP SIGN","1 - CLEAR","C - CLASS C","NO CHARGES",25,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","1 - MALE","1 - NOT WORN","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
"13203630","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-12",0,"1",2,"B - SUSPECTED MINOR INJURY","636","2013","SATURDAY","PEDALCYCLIST","06:00 - 06:59","2 - DARK, NOT LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",3,"2 - THREE ENTERING ROADS - T","NOT APPLICABLE","NOT APPLICABLE","INTERSTATE","4 OR MORE LANES, DIVIDED",55,"2 - WET","17 - MARKED LANES","3 - RAIN","C - CLASS C","NO CHARGES",58,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13203630","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-12",0,"1",2,"B - SUSPECTED MINOR INJURY","636","2013","SATURDAY","PEDALCYCLIST","06:00 - 06:59","2 - DARK, NOT LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",3,"2 - THREE ENTERING ROADS - T","NOT APPLICABLE","NOT APPLICABLE","INTERSTATE","4 OR MORE LANES, DIVIDED",55,"2 - WET","17 - MARKED LANES","3 - RAIN","C - CLASS C","NO CHARGES",46,"TEST_NOT_TAKEN","TEST_NOT_TAKEN","97 - NOT APPLICABLE","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13203630","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-12",0,"1",2,"B - SUSPECTED MINOR INJURY","636","2013","SATURDAY","PEDALCYCLIST","06:00 - 06:59","2 - DARK, NOT LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",3,"2 - THREE ENTERING ROADS - T","NOT APPLICABLE","NOT APPLICABLE","INTERSTATE","4 OR MORE LANES, DIVIDED",55,"2 - WET","17 - MARKED LANES","3 - RAIN","C - CLASS C","NO CHARGES",49,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","1 - MALE","3 - WORN, NOT DAMAGED","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
"13224473","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-17",0,"1",1,"B - SUSPECTED MINOR INJURY","1437","2013","THURSDAY","PEDALCYCLIST","14:00 - 14:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - TURNING LEFT",0,"4 - FOUR ENTERING ROADS","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",30,"1 - DRY","5 - SIGNAL LIGHT","1 - CLEAR","C - CLASS C","FTYROW @ TURN",37,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13224473","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-17",0,"1",1,"B - SUSPECTED MINOR INJURY","1437","2013","THURSDAY","PEDALCYCLIST","14:00 - 14:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - TURNING LEFT",0,"4 - FOUR ENTERING ROADS","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",30,"1 - DRY","5 - SIGNAL LIGHT","1 - CLEAR","C - CLASS C","NO CHARGES",20,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","1 - MALE","1 - NOT WORN","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
"13094521","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-20",0,"1",1,"B - SUSPECTED MINOR INJURY","1712","2013","SUNDAY","PEDALCYCLIST","17:00 - 17:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",45,"1 - DRY","17 - MARKED LANES","1 - CLEAR","C - CLASS C","NO CHARGES",31,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13094521","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-20",0,"1",1,"B - SUSPECTED MINOR INJURY","1712","2013","SUNDAY","PEDALCYCLIST","17:00 - 17:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",45,"1 - DRY","17 - MARKED LANES","1 - CLEAR","C - CLASS C","NO CHARGES",18,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","2 - FEMALE","1 - NOT WORN","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
"13094522","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-20",0,"1",2,"B - SUSPECTED MINOR INJURY","1622","2013","SUNDAY","PEDALCYCLIST","16:00 - 16:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - TURNING LEFT",0,"97 - NOT APPLICABLE","ENTRANCE TO OR EXIT FROM PRIVATE PROPERTY OR DRIVEWAY","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",30,"1 - DRY","11 - CENTER STRIPE/DIVIDER","1 - CLEAR","C - CLASS C","NO CHARGES",20,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","1 - MALE","99 - UNKNOWN IF WORN","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
"13094522","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-20",0,"1",2,"B - SUSPECTED MINOR INJURY","1622","2013","SUNDAY","PEDALCYCLIST","16:00 - 16:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - TURNING LEFT",0,"97 - NOT APPLICABLE","ENTRANCE TO OR EXIT FROM PRIVATE PROPERTY OR DRIVEWAY","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",30,"1 - DRY","11 - CENTER STRIPE/DIVIDER","1 - CLEAR","C - CLASS C","NO CHARGES",24,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13094522","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-20",0,"1",2,"B - SUSPECTED MINOR INJURY","1622","2013","SUNDAY","PEDALCYCLIST","16:00 - 16:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - TURNING LEFT",0,"97 - NOT APPLICABLE","ENTRANCE TO OR EXIT FROM PRIVATE PROPERTY OR DRIVEWAY","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",30,"1 - DRY","11 - CENTER STRIPE/DIVIDER","1 - CLEAR","C - CLASS C","NO CHARGES",23,"TEST_NOT_TAKEN","TEST_NOT_TAKEN","97 - NOT APPLICABLE","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13110286","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-21",0,"1",1,"B - SUSPECTED MINOR INJURY","1609","2013","MONDAY","PEDALCYCLIST","16:00 - 16:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","IN A PARKING LOT","NOT APPLICABLE","NON TRAFFICWAY","NOT APPLICABLE",0,"1 - DRY","96 - NONE","1 - CLEAR","C - CLASS C","NO CHARGES",9,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","1 - MALE","1 - NOT WORN","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
"13110286","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-21",0,"1",1,"B - SUSPECTED MINOR INJURY","1609","2013","MONDAY","PEDALCYCLIST","16:00 - 16:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","IN A PARKING LOT","NOT APPLICABLE","NON TRAFFICWAY","NOT APPLICABLE",0,"1 - DRY","96 - NONE","1 - CLEAR","5 - UNLICENSED","NO CHARGES",37,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13110116","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-22",0,"1",1,"B - SUSPECTED MINOR INJURY","1557","2013","TUESDAY","PEDALCYCLIST","15:00 - 15:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"4 - FOUR ENTERING ROADS","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",0,"1 - DRY","5 - SIGNAL LIGHT","1 - CLEAR","C - CLASS C","T.T.C. 544.007-.008 RAN RED LIGHT",53,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","1 - MALE","2 - WORN, DAMAGED","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
"13110116","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-22",0,"1",1,"B - SUSPECTED MINOR INJURY","1557","2013","TUESDAY","PEDALCYCLIST","15:00 - 15:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"4 - FOUR ENTERING ROADS","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",0,"1 - DRY","5 - SIGNAL LIGHT","1 - CLEAR","C - CLASS C","NO CHARGES",32,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13110147","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-23",0,"1",1,"C - POSSIBLE INJURY","2011","2013","WEDNESDAY","PEDALCYCLIST","20:00 - 20:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - TURNING LEFT",0,"4 - FOUR ENTERING ROADS","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",30,"1 - DRY","5 - SIGNAL LIGHT","1 - CLEAR","C - CLASS C","NO CHARGES",29,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13110147","No","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-23",0,"1",1,"C - POSSIBLE INJURY","2011","2013","WEDNESDAY","PEDALCYCLIST","20:00 - 20:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - TURNING LEFT",0,"4 - FOUR ENTERING ROADS","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",30,"1 - DRY","5 - SIGNAL LIGHT","1 - CLEAR","C - CLASS C","NO CHARGES",26,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","2 - FEMALE","3 - WORN, NOT DAMAGED","C - POSSIBLE INJURY",1,"Person_Possible_Injury"
"13250424","Yes","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-23",0,"1",1,"B - SUSPECTED MINOR INJURY","711","2013","WEDNESDAY","PEDALCYCLIST","07:00 - 07:59","5 - DAWN","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"4 - FOUR ENTERING ROADS","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",35,"1 - DRY","8 - STOP SIGN","6 - FOG","C - CLASS C","NO CHARGES",51,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13250424","Yes","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-23",0,"1",1,"B - SUSPECTED MINOR INJURY","711","2013","WEDNESDAY","PEDALCYCLIST","07:00 - 07:59","5 - DAWN","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"4 - FOUR ENTERING ROADS","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",35,"1 - DRY","8 - STOP SIGN","6 - FOG","C - CLASS C","NO CHARGES",34,"96 - NONE","98 - OTHER (EXPLAIN IN NARRATIVE)","97 - NOT APPLICABLE","H - HISPANIC","1 - MALE","1 - NOT WORN","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
"13110186","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-24",0,"1",0,"A - SUSPECTED SERIOUS INJURY","2242","2013","THURSDAY","PEDALCYCLIST","22:00 - 22:59","2 - DARK, NOT LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",30,"1 - DRY","96 - NONE","1 - CLEAR","99 - UNKNOWN","NO CHARGES",21,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","99 - UNKNOWN","99 - UNKNOWN","97 - NOT APPLICABLE","99 - UNKNOWN",0,"Person_Unkown_Injury"
"13110186","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-24",0,"1",0,"A - SUSPECTED SERIOUS INJURY","2242","2013","THURSDAY","PEDALCYCLIST","22:00 - 22:59","2 - DARK, NOT LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",30,"1 - DRY","96 - NONE","1 - CLEAR","C - CLASS C","NO CHARGES",41,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","1 - MALE","1 - NOT WORN","A - SUSPECTED SERIOUS INJURY",1,"Person_Possible_Injury"
"13118085","Yes","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-26",0,"1",1,"B - SUSPECTED MINOR INJURY","1818","2013","SATURDAY","PEDALCYCLIST","18:00 - 18:59","2 - DARK, NOT LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",0,"1 - DRY","96 - NONE","1 - CLEAR","5 - UNLICENSED","NO CHARGES",11,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","H - HISPANIC","2 - FEMALE","99 - UNKNOWN IF WORN","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
